String;PSČ;CC;Město;Okres;Kraj
56902-Březová nad Svitavou, Březová;56902;1;Březová nad Svitavou;Březová;
56903-Rozhraní, Rozhraní;56903;1;Rozhraní;Rozhraní;
56904-Moravská Chrastová, Brníčko;56904;1;Moravská Chrastová;Brníčko;
56905-Bělá nad Svitavou, Bedřichov;56905;1;Bělá nad Svitavou;Bedřichov;
56906-Vítějeves, Vitějovice;56906;1;Vítějeves;Vitějovice;
56907-Radiměř, Radim;56907;1;Radiměř;Radim;
56911-Koclířov, Kojetice;56911;1;Koclířov;Kojetice;
56912-Opatov, Opatovice nad Labem;56912;1;Opatov;Opatovice nad Labem;
56914-Vendolí, Vendolí;56914;1;Vendolí;Vendolí;
56921-Boršov, Moravská Třebová;56921;1;Boršov;Moravská Třebová;
56922-Křenov, Křenovice;56922;1;Křenov;Křenovice;
56923-Březina, Březnice;56923;1;Březina;Březnice;
56924-Kunčina, Kunín;56924;1;Kunčina;Kunín;
56932-Staré Město, Staré Město;56932;1;Staré Město;Staré Město;
56933-Třebařov, Třebechovice pod Orebem;56933;1;Třebařov;Třebechovice pod Orebem;
56934-Rychnov na Moravě, Rychnov na Moravě;56934;1;Rychnov na Moravě;Rychnov na Moravě;
56935-Mladějov na Moravě, Mladějov na Moravě;56935;1;Mladějov na Moravě;Mladějov na Moravě;
56941-Městečko Trnávka, Město Albrechtice;56941;1;Městečko Trnávka;Město Albrechtice;
56942-Chornice, Chorušice;56942;1;Chornice;Chorušice;
56943-Jevíčko, Jezernice;56943;1;Jevíčko;Jezernice;
56944-Jaroměřice, Jasenná;56944;1;Jaroměřice;Jasenná;
56945-Biskupice, Bílý Potok;56945;1;Biskupice;Bílý Potok;
56946-Vranová Lhota, Vranová Lhota;56946;1;Vranová Lhota;Vranová Lhota;
56951-Morašice, Morašice;56951;1;Morašice;Morašice;
56953-Cerekvice nad Loučnou, Cerhenice;56953;1;Cerekvice nad Loučnou;Cerhenice;
56955-Janov, Janovice nad Úhlavou;56955;1;Janov;Janovice nad Úhlavou;
56956-Čistá, Čistá u Horek;56956;1;Čistá;Čistá u Horek;
56957-Trstěnice, Třtěnice;56957;1;Trstěnice;Třtěnice;
56961-Dolní Újezd, Dolní Životice;56961;1;Dolní Újezd;Dolní Životice;
56962-Sebranice, Seč;56962;1;Sebranice;Seč;
56963-Lubná, Lubná;56963;1;Lubná;Lubná;
56964-Poříčí u Litomyšle, Poříčí nad Sázavou;56964;1;Poříčí u Litomyšle;Poříčí nad Sázavou;
56965-Budislav, Budišov nad Budišovkou;56965;1;Budislav;Budišov nad Budišovkou;
56967-Osík, Osík;56967;1;Osík;Osík;
56971-Pomezí, Polom;56971;1;Pomezí;Polom;
56972-Rohozná, Rohozná;56972;1;Rohozná;Rohozná;
56973-Svojanov, Svojanov;56973;1;Svojanov;Svojanov;
56974-Trpín, Trpísty;56974;1;Trpín;Trpísty;
56982-Borová, Borová;56982;1;Borová;Borová;
56983-Pustá Kamenice, Ptení;56983;1;Pustá Kamenice;Ptení;
56991-Jedlová, Jeneč;56991;1;Jedlová;Jeneč;
56992-Bystré, Bystřice;56992;1;Bystré;Bystřice;
56993-Korouhev, Koryčany;56993;1;Korouhev;Koryčany;
56994-Telecí, Telnice;56994;1;Telecí;Telnice;
57001-Litomyšl-Město, Litovel;57001;1;Litomyšl-Město;Litovel;
57101-Město, Moravská Nová Ves;57101;1;Město;Moravská Nová Ves;
57201-Horní Předměstí, Police nad Metují;57201;1;Horní Předměstí;Police nad Metují;
